brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,512 GB,Windows
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,128 GB,0 GB,Windows
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,128 GB,0 GB,Windows
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
Avita,PURA,AMD,APU Dual,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
HP,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows
Lenovo,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows
HP,Athlon,AMD,Athlon Dual,10th,32 GB GB,DDR4,32 GB,0 GB,Windows
acer,Aspire,AMD,Athlon Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,ExpertBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows
Lenovo,v15,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows
ASUS,ExpertBook,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows
ASUS,VivoBook,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
ASUS,EeeBook,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
ASUS,EeeBook,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
ASUS,ExpertBook,Intel,Core i5,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows
Lenovo,Missing,Intel,Core i5,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows
acer,Aspire,AMD,Ryzen,10th,4 GB GB,DDR4,0 GB,512 GB,Windows
acer,Nitro,AMD,Ryzen 5,10th,4 GB GB,DDR4,0 GB,512 GB,Windows
acer,Nitro,AMD,Ryzen 5,10th,4 GB GB,DDR4,0 GB,512 GB,Windows
acer,Nitro,AMD,Ryzen 5,10th,4 GB GB,DDR4,0 GB,512 GB,Windows
Avita,Cosmos,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
ASUS,EeeBook,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
ASUS,ExpertBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
HP,x360,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
HP,x360,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Celeron Dual,N/A,4 GB GB,DDR4,256 GB,0 GB,Windows
HP,Celeron,Intel,Celeron Dual,N/A,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Celeron Dual,N/A,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Celeron Dual,N/A,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,Celeron,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,1024 GB,Windows
HP,15q,Intel,Core i3,7th,4 GB GB,DDR4,0 GB,1024 GB,Windows
HP,250-G6,Intel,Core i5,7th,4 GB GB,DDR4,0 GB,1024 GB,Windows
ASUS,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
RedmiBook,15,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
HP,Pavilion,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
acer,Aspire,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
realme,Book,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,Missing,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Vostro,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Infinix,INBook,Intel,Core i3,10th,8 GB GB,LPDDR4X,256 GB,0 GB,Windows
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Ideapad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Ideapad,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Vostro,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Ideapad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Infinix,INBook,Intel,Core i3,10th,8 GB GB,LPDDR4X,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,ThinkPad,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
MSI,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Ideapad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
realme,Book,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
acer,Chromebook,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
DELL,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Ideapad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,Commercial,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Ideapad,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
HP,14s,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
DELL,INSPIRON,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,V15,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Missing,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,Chromebook,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4,0 GB,512 GB,Windows
HP,Pavilion,Intel,Core i3,8th,4 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows
RedmiBook,15,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
HP,Missing,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
ASUS,Missing,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows
MSI,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
HP,Pavilion,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows
MSI,Missing,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows
